threshold,precision,recall,f1
5.73796387470793e-06,0.03,1.0,0.058252427127910254
6.748829946445767e-06,0.030003000300030003,1.0,0.058258083252498045
7.333512712648371e-06,0.030006001200240048,1.0,0.05826374047557575
7.507778718718328e-06,0.030009002700810243,1.0,0.058269398797463415
8.780853931966703e-06,0.030012004801920768,1.0,0.0582750582184812
8.89711100171553e-06,0.030015007503751877,1.0,0.058280718738949404
9.104329365072772e-06,0.03001801080648389,1.0,0.058286380359188456
9.712699466035701e-06,0.03002101471029721,1.0,0.05829204307951885
1.0329144970455673e-05,0.0300240192153723,1.0,0.0582977069002613
1.036196954373736e-05,0.030027024321889702,1.0,0.05830337182173657
1.1231594726268668e-05,0.03003003003003003,1.0,0.05830903784426557
1.1278414604021236e-05,0.03003303633997397,1.0,0.058314704968169345
1.1278446436335798e-05,0.030036043251902282,1.0,0.05832037319376906
1.1862287465191912e-05,0.030039050765995796,1.0,0.058326042521386
1.1896931027877145e-05,0.03004205888243541,1.0,0.05833171295134157
1.1899325727426913e-05,0.030045067601402103,1.0,0.05833738448395733
1.1979917871940415e-05,0.030048076923076924,1.0,0.05834305711955493
1.2010312275378965e-05,0.03005108684764099,1.0,0.058348730858456155
1.203541069116909e-05,0.030054097375275497,1.0,0.058354405700982916
1.2066612725902814e-05,0.03005710850616171,1.0,0.058360081647457256
1.2069122021785006e-05,0.03006012024048096,1.0,0.058365758698201334
1.2172401511634234e-05,0.03006313257841467,1.0,0.05837143685353744
1.2329399396548979e-05,0.03006614552014432,1.0,0.058377116113788007
1.2360905202513095e-05,0.030069159065851458,1.0,0.058382796479275544
1.2516201422840822e-05,0.030072173215717722,1.0,0.058388477950322745
1.2519700248958543e-05,0.03007518796992481,1.0,0.058394160527252374
1.279345087823458e-05,0.0300782033286545,1.0,0.05839984421038738
1.3054599548922852e-05,0.03008121929208864,1.0,0.05840552900005077
1.3188266166253015e-05,0.030084235860409144,1.0,0.058411214896565734
1.3323670827958267e-05,0.030087253033798014,1.0,0.05841690190025557
1.3399629096966237e-05,0.03009027081243731,1.0,0.05842259001144369
1.340223661827622e-05,0.03009328919650918,1.0,0.05842827923045365
1.342098676104797e-05,0.03009630818619583,1.0,0.05843396955760909
1.3423431482806336e-05,0.030099327781679543,1.0,0.05843966099323385
1.3737482731812634e-05,0.030102347983142687,1.0,0.058445353537651824
1.3751323422184214e-05,0.030105368790767688,1.0,0.058451047191187065
1.3910909729020204e-05,0.030108390204737052,1.0,0.058456741954163775
1.3977280104882084e-05,0.030111412225233364,1.0,0.05846243782690624
1.3993351785757113e-05,0.03011443485243927,1.0,0.05846813480973888
1.4178202036418952e-05,0.030117458086537496,1.0,0.058473832902986266
1.4334332263388205e-05,0.030120481927710843,1.0,0.058479532106973084
1.4627617019868921e-05,0.030123506376142185,1.0,0.05848523242202413
1.4789544366067275e-05,0.03012653143201446,1.0,0.05849093384846434
1.4885905329720117e-05,0.030129557095510694,1.0,0.05849663638661879
1.4963960893510375e-05,0.030132583366813983,1.0,0.058502340036812664
1.5226488358166534e-05,0.030135610246107485,1.0,0.05850804479937127
1.53917553689098e-05,0.030138637733574444,1.0,0.058513750674620064
1.545881968922913e-05,0.03014166582939817,1.0,0.05851945766288459
1.5516097846557386e-05,0.03014469453376206,1.0,0.05852516576449059
1.5548404917353764e-05,0.030147723846849564,1.0,0.05853087497976386
1.5697931303293444e-05,0.03015075376884422,1.0,0.05853658530903034
1.5763789633638225e-05,0.03015378429992964,1.0,0.05854229675261612
1.5877170881140046e-05,0.030156815440289506,1.0,0.058548009310847415
1.59849787451094e-05,0.03015984719010757,1.0,0.05855372298405055
1.5997085938579403e-05,0.030162879549567666,1.0,0.058559437772552
1.6134472389239818e-05,0.030165912518853696,1.0,0.05856515367667834
1.6251913621090353e-05,0.030168946098149636,1.0,0.05857087069675627
1.6305906683555804e-05,0.030171980287639545,1.0,0.05857658883311266
1.63544336828636e-05,0.030175015087507542,1.0,0.05858230808607446
1.6379563021473587e-05,0.030178050497937835,1.0,0.05858802845596879
1.6388719814131036e-05,0.030181086519114688,1.0,0.05859374994312285
1.645731936150696e-05,0.03018412315122246,1.0,0.058599472547864025
1.6529957065358758e-05,0.030187160394445564,1.0,0.05860519627051979
1.6571562809986062e-05,0.0301901982489685,1.0,0.05861092111141772
1.6586298443144187e-05,0.030193236714975844,1.0,0.0586166470708856
1.6614874766673893e-05,0.03019627579265224,1.0,0.05862237414925127
